step,MeanTotalloss,MeanLabeledCEloss,MeanViewRegularizationLoss
0,1.0927227586507797,1.0927227586507797,2.2058592695328922
1,1.104513780772686,1.0488597891396947,2.226159685684575
2,1.147769370012813,1.0358672211567561,2.2380429883797963
3,1.2026468225651317,1.0359217360615731,2.2230011673437224
4,1.2574021476838324,1.0354056487480798,2.2199650393591988
5,1.311244855158859,1.03560741311974,2.205099529855781
6,1.3620582004388173,1.0354599404666158,2.1773218143317434
7,1.4161830228235988,1.035657734175523,2.174430212378502
8,1.4683784377243785,1.0359263327386645,2.162260575261381
9,1.519326827261183,1.0344604921009806,2.154961413310634
10,1.572131964729892,1.0343539191616906,2.1511121531327566
11,1.6144808034102123,1.032348904841476,2.1168432734906673
12,1.6597797986533906,1.0341720147265328,2.085359321037928
13,1.6759117007255555,1.0326609945959515,1.9792330289880435
14,1.6545088903771505,1.0340684369206428,1.7726869932479328
15,1.6164841257863574,1.0330473338564237,1.555831366032362
16,1.6186639986104436,1.0308729930056466,1.4694775545762644
17,1.6182167334689035,1.03097106864055,1.381754493382242
18,1.6360224339697096,1.0305696076816984,1.3454506655534109
19,1.6397160306572913,1.0333844827281105,1.276487493928936
20,1.649990700185299,1.0306214529607032,1.2387384766919745
21,1.673836943341626,1.0266249406668875,1.2327848023010626
22,1.6944353838761648,1.026900260647138,1.2137002392775482
23,1.7256320736474462,1.0250568817059198,1.2183916269491115
24,1.7454377394583491,1.0233383393949933,1.2034990215674042
25,1.7596146414677303,1.0216988114847076,1.1806653266151745
26,1.7550443902611732,1.0195856692062484,1.131474993750453
27,1.769922057290872,1.017584397064315,1.1145742643210623
28,1.8085769030782912,1.0185848735272884,1.1285600340614717
29,1.8497382152411672,1.0144339130984412,1.1521438957916366
30,1.8208102729585436,1.0180224155386288,1.070383766459094
31,1.8397950715488858,1.016943530490001,1.0617439178129038
32,1.853289119568136,1.0093537117044131,1.0549192897975446
33,1.8390650691257582,1.0103264358308581,1.0045316348887152
