step,raw_bacc,ema_bacc
0,33.33333333333333,27.968401667151305
1,33.33333333333333,33.33333333333333
2,33.33333333333333,33.33333333333333
3,33.33333333333333,33.33333333333333
4,33.33333333333333,33.33333333333333
5,33.33333333333333,33.33333333333333
6,33.33333333333333,33.33333333333333
7,33.33333333333333,33.33333333333333
8,33.33333333333333,33.33333333333333
9,33.33333333333333,33.33333333333333
10,34.85885770586957,33.33333333333333
11,42.84852223354611,34.02636425317437
12,39.938935737132894,36.289619075312594
13,52.21394418299141,39.868663371135014
14,47.55387704900292,41.14083551419987
15,48.10445762531631,42.6930149221146
16,43.91187699442244,43.91940533627691
17,37.49043665323799,44.96055148868255
18,53.15134037421505,46.85439998644899
19,52.769535811851675,48.01051803461343
20,45.12553980563703,48.65993162383511
21,57.61712923622149,49.35296254367614
22,56.61541277427866,51.77908833662227
23,52.303837289947495,53.58245557572524
24,40.519112107361686,54.230786965805336
25,53.67077243610555,54.62360172813088
26,54.764146460126604,55.639175044299584
27,62.588681514438896,55.22506919016686
28,53.32261015140437,56.01178091395952
29,63.01243305657267,56.981572501225706
30,62.61441903315388,57.214715838031495
31,54.5543174570014,59.48008800631628
32,46.32631033142584,60.450961792724044
33,59.27783439718214,58.742357556714296
34,58.24541641611404,59.36939785498719
35,63.62246400746812,59.36939785498719
36,60.131618941684515,60.27108147453867
37,57.30416194968998,61.356927156705254
38,51.07636467664359,61.54108921932037
39,55.86582518625588,60.733086403720506
40,57.213586586753316,62.118066044261
41,60.04970117188052,62.5811531725844
42,64.03337031631268,63.344456458423316
43,63.09002202981034,63.04532250004941
44,56.997452597324994,63.000622970288454
45,57.36897626784335,63.787334694081125
46,62.00309414850219,63.71706232808325
47,60.34547090248821,63.90122439069835
48,59.165944416369996,63.5775997952291
49,65.67261970298809,63.87673375360302
50,61.0214924749518,63.87673375360302
51,66.55729397516211,64.45371057854366
52,58.30321996591543,64.26954851592855
53,63.93644291493632,64.22484898616761
54,59.59560100164588,62.92926840514901
55,55.33246569193461,62.237319684449545
56,57.21991509912474,63.806461387605154
57,64.34419673062935,63.82667028027075
58,63.098679622942996,65.99836164460392
59,56.654113156624334,64.03640517912278
60,58.2865870356307,64.33445693835512
61,60.179400386392146,64.51433725654049
62,56.10633218243808,65.06682344438578
63,66.2197419472621,64.59837237249107
64,59.679142070162264,64.71334426824987
65,54.0240398776268,63.88085081555468
66,60.656250264668266,64.22896604811928
67,68.12864712873748,62.540570704775135
68,71.24044018214825,64.06501287816978
69,66.44340427854488,63.8116606486984
70,63.66904562269268,65.10724122971699
71,60.05504158938353,65.17643139657329
72,65.0104785108187,65.9599435750778
73,63.41684617056775,66.32718550116643
74,71.42335536314368,65.49577424761281
75,63.6892074632217,66.81048152215544
76,62.68643232820559,67.89632720432202
77,60.06878081326795,68.61276656211682
78,64.57063513797098,69.40376003033921
79,71.4306719703835,69.8412743224257
80,61.50787041088749,70.35014317965165
81,69.75728625861173,70.35122537879323
82,67.70696588061367,70.720631703165
83,68.52557895301467,71.36788089410352
84,62.37765268183063,72.42923593917476
85,64.6984287409507,72.24507387655964
86,73.85999730861779,74.20811254118237
87,72.48466335607834,74.46146477065378
88,71.50094433638138,74.60092730350793
89,62.19240842007395,74.18253970494546
90,64.97949467887388,74.89897906274025
91,66.49965510783879,75.17790412844857
92,77.68611237367678,74.87877017007465
93,72.66877836655685,73.53740786015352
94,77.05474327883755,75.59520952786946
95,79.19874446078722,76.75132757603392
96,62.753458096778715,76.49689314742093
97,78.84206573936315,78.78355640751292
98,80.63595197294316,78.73457513332224
99,81.81011451549004,80.32928967271475
100,80.32928967271475,80.95204822655792
101,74.09525799157014,78.98792736279361
102,72.99993130388059,78.08624374324214
103,72.63805332136327,78.66430276732436
104,63.139873768527956,77.90208168062703
105,64.36014740493351,78.80484749932009
106,73.16924841740139,76.72575473979698
107,73.04667760158323,79.28706132116754
108,80.35594470809325,78.36516880895044
109,66.36972063264422,78.5248402344702
110,74.36566662055557,79.33176085092848
111,65.21889594984617,79.9098198750107
112,76.70683978088762,79.2625706840722
113,78.32907982018554,80.32820747357317
114,77.59584284962796,79.77572128572787
115,71.39712379699449,81.66848758435272
116,77.25803203497668,81.16178312540994
117,75.16967000454522,80.60821473842306
118,69.20567053529334,81.64399694725738
119,70.65668784953857,82.01232107248758
120,78.15011701866369,80.6475503246127
121,65.6064173468053,80.85728522346471
122,75.67512758186835,81.63971520282765
123,80.51133438918328,81.36507188154907
124,78.75798357127599,81.71318711411367
125,73.56298069639044,81.07021966760487
126,83.311312933409,80.28350794381221
127,82.63296228018419,81.3693536259788
128,77.35646510472395,83.14823022798642
129,77.61887487048898,83.51763655235821
130,79.71817652267772,84.1595217997254
131,82.53083561771456,85.70953680935696
132,77.49962123030045,86.31208647053454
133,87.82704763840621,86.77517359885796
134,75.78468848191929,85.5988466580279
135,83.01721355365025,86.93912676880745
136,82.54285743861344,87.85993708188295
137,72.86879699920293,87.6512843821725
138,85.08249651108407,90.14231859754518
139,86.14385155615531,89.42479704060882
140,82.83516883718173,89.30982514485
141,85.56687473121465,89.53976893636764
142,91.31344627728201,90.14231859754518
143,88.03873520092674,90.78956778848371
144,89.27157175780195,89.56425957346296
145,89.80276685384005,90.16680923464054
146,90.22543619683226,90.90773922953068
147,89.44500593327443,90.86412189891129
148,87.72496802807318,92.27359217654715
149,91.04611956324325,92.59721677201641
150,86.02363334716667,92.34278234340344
151,88.53812305262969,91.71465984598895
152,83.95303349829813,91.39103525051969
153,88.34539750115513,91.46022541737597
154,78.59657121670237,90.69800433067866
155,83.7837163847773,91.13660082190673
156,76.519689907599,92.49708982535188
157,81.1723463300745,91.69016920889361
158,68.73303182324206,90.48398768739689
159,85.1411234732758,88.38256868906159
160,85.95324335082731,89.97620102931253
161,85.37556074383782,89.60787690408233
162,83.11197655674346,88.82116518028967
163,87.56188532265061,88.59230358791362
164,83.74433374645109,88.57101249610645
165,86.23108621739405,89.79632071112717
166,83.53139930231092,88.96490945757355
167,88.39974271891712,88.82972866914915
168,85.645710586072,90.90773922953068
169,77.02201851783889,91.34633572075873
170,89.11190033228218,91.89882190860405
171,87.00187079295083,92.5907706293035
172,88.07720032258945,92.73023316215766
173,88.49645838567884,92.45130809644935
174,90.311635711066,92.38103573045147
175,89.8687574754082,93.39769124576178
176,66.23373995789775,93.07406665029254
177,88.03678253725823,92.95909475453371
178,88.84906709728783,92.95909475453371
179,85.51156494465259,93.02936712053157
180,90.34988909811405,93.00915822786597
181,93.04849381405559,93.26359265647893
182,90.21470830968964,92.82607836439246
183,90.90129308681779,93.1241301236248
184,87.91211790136177,93.16882965338573
185,91.889176220603,94.27380202907635
186,90.51276006892198,94.01936760046338
187,90.25100903306918,93.95017743360708
188,94.88171563382522,95.08072264553462
189,88.49554086901531,96.05159643194237
190,83.9827233964867,95.49802804495549
191,95.6886362502835,95.28937534524505
192,84.454326961533,95.28937534524505
193,89.49285795618694,95.61299994071432
194,93.565926160141,95.84186153309035
195,95.22018517838876,95.72688963733155
196,91.12587293476409,95.28829314610347
197,94.62299946078252,95.54272757471645
198,95.33515707414757,96.16548612855964
199,96.93307115882824,96.92770721525696
200,96.2400402389872,97.0671697481111
201,85.59240051531499,95.7769531106638
202,82.89396048185152,95.7769531106638
203,84.44472832566854,96.03138753927678
204,83.33770918203625,95.06051375286901
205,73.51708133714644,94.34299219593262
206,85.76799908907064,94.20352966307847
207,85.39539321941069,94.20352966307847
208,91.45594367294625,93.87990506760922
209,88.60194927591468,95.03602311577367
210,91.53586172694516,94.85186105315857
211,76.98327108335663,95.22018517838876
212,92.86753129672866,95.72797183647313
213,75.92191603828539,95.30958423791066
214,81.0488815236611,94.08427602288992
215,85.90334455997312,94.40790061835918
216,90.24564508949787,94.57185378830869
217,79.53396740792601,94.1332572970806
218,77.3591470765096,94.1332572970806
219,88.78502913938819,94.1332572970806
220,85.60724546440929,93.9490952344655
221,84.76943512027937,94.2280203001738
222,92.84092331348675,93.78942380894574
223,87.07339004056834,93.35082731771766
224,84.08426190724894,94.2972104670301
225,92.91223082648959,94.62083506249934
226,82.93433121504616,94.62083506249934
227,92.29163667092958,95.63749057780964
228,91.64975142356239,95.52360088119242
229,96.41992055717257,96.03138753927678
230,79.13367135588261,96.65414609311995
231,93.80963270161135,96.26024913165283
232,94.90620627092056,97.0671697481111
233,93.165583055961,96.37413882827005
234,93.53070763590304,96.81273531949813
235,95.27561259529234,97.4354938733413
236,84.84074263328223,96.92770721525696
237,90.64577645906323,96.62857325688302
238,93.81071490075293,96.00581470303985
239,96.67435498578556,96.3294392985091
240,88.72423777891329,96.92770721525696
241,89.37917999418437,97.39079434358034
242,97.69529224552556,97.34609481381939
243,98.24777843337088,98.47664002574693
244,97.44085781691261,98.66080208836202
245,83.2737182762732,98.98442668383129
246,98.22220559713398,98.5458301926032
247,98.33717749289278,98.98442668383129
248,97.94328053142566,99.30805127930054
249,97.18105944472833,98.98442668383129
250,98.86945478807249,99.30805127930054
251,91.04715471024824,98.61502035945952
252,95.47245520871857,98.29139576399025
253,92.81535047724981,97.967771168521
254,82.79162208476724,97.7836091059059
255,71.59274305486937,97.73890957614495
256,90.59267812292089,95.87063391461542
257,87.33946987298745,96.81809926306943
258,88.51363241553436,97.00226132568454
259,93.14325681714881,96.79252642683251
260,78.40699815837938,95.84614327752008
261,89.59406710199303,96.2400402389872
262,83.39958274165271,95.47781915228988
263,92.03612004317505,95.87171611375702
264,85.39431102026911,96.12615054236998
265,86.30352298167509,96.46998403050485
266,86.01311719463868,94.92641516358617
267,83.56753534321241,95.0403048602034
268,87.57689495422298,95.17976739305755
269,91.50596009414191,95.29365708967478
270,86.94540822904227,96.76695359059559
271,93.2040481776237,97.32052197758249
272,90.66495020472387,97.4354938733413
273,95.84830767580324,97.57495640619545
274,96.9777706885892,97.75911846881056
275,92.85896780786919,98.19771496003862
276,84.03913890825869,98.52133955550788
277,91.08133808748121,98.03804353451886
278,91.68908700975203,98.03804353451886
279,95.89084280728103,97.5994470432908
280,94.8294877622098,97.13635991496737
281,96.46890183136327,97.4354938733413
282,90.38602513901553,97.4354938733413
283,95.17440344948623,96.99689738211323
284,95.98668800951583,97.18105944472833
285,95.29365708967478,97.94328053142566
286,95.72688963733155,97.7836091059059
287,91.9583663874593,97.45998451043664
288,95.95683342884917,96.8819254863544
289,97.73890957614495,97.75911846881056
290,95.68110790842901,97.87409036456937
291,96.41883835803101,97.64414657305174
292,91.44949753023334,97.967771168521
293,88.0290895129257,97.20555008182366
294,95.80788989047204,97.967771168521
295,96.05479597723053,97.85279927276217
296,97.0671697481111,97.41420278153412
297,98.08274306427981,98.61502035945952
298,94.54948049735991,98.72999225521832
299,96.85743484925908,97.85279927276217
300,98.70550161812298,97.85279927276217
301,93.73616079032531,97.967771168521
302,88.84245627209685,97.967771168521
303,76.14120252086526,97.82830863566684
304,76.55382623269539,97.82830863566684
305,94.33871045150289,97.82830863566684
306,92.89846807653689,97.82830863566684
307,91.56766897128033,98.59052972236417
308,79.52648611820813,98.40636765974907
309,94.36320108859823,98.1519332311361
310,84.88972390747293,96.53381025378982
311,57.08567535343212,95.56293646738206
312,92.90903128120144,95.56293646738206
313,89.30549634828368,96.74246295350025
314,92.53014395130668,96.8819254863544
315,91.63902353641976,97.32052197758249
316,93.1378928735775,97.32052197758249
317,88.59355046953327,96.2346762954159
318,93.38392849580907,95.89084280728103
319,94.15454838888779,96.39862946536539
320,93.79478775251705,96.37413882827005
321,92.94533200458099,97.82939083480842
322,95.45977465790743,97.20663228096525
323,95.86635217018569,97.64522877219332
324,93.18600368324125,98.01355289742352
325,95.37985660390854,97.8985810016647
326,94.3717645774577,97.71441893904961
327,94.63264514878355,98.03804353451886
328,88.25903330444332,98.47664002574693
329,93.61815403175643,98.80026462121619
330,95.98240626508608,98.98442668383129
331,94.11516575056157,99.49221334191564
332,90.77467578725282,98.84496415097713
333,95.74818072913874,99.49221334191564
334,97.39079434358034,99.30805127930054
335,92.69929638234942,99.30805127930054
336,95.26488470814972,99.12388921668544
337,94.92425076530301,98.50113066284227
338,97.0458786563039,98.50113066284227
339,94.22373855574408,98.68529272545737
340,97.11723322144336,98.91415431783342
341,99.05361685068758,98.91415431783342
